DAY;COUNTRY;CURRENCY;ORDERCHANNEL;ORDERTYPE;ORDER; TOTAL PRICE (local) ; TOTAL PRICE (EUR) 
01/11/2024;AE;AED;CSC;ZKL;1; -   ; -   
01/11/2024;AE;AED;DIRECTRETAIL;ZKL;1; -   ; -   
01/11/2024;AE;AED;DIRECTRETAIL;ZTA;178; 45,440.00 ; 11,814.40 
01/11/2024;AE;AED;INDIRECTRETAIL;ZBC;1; 130.00 ; 33.80 
01/11/2024;AE;AED;WEBSITE;ZTA;53; 18,920.00 ; 4,919.20 
01/11/2024;AZ;AZN;CEF;ZTA;110; 13,086.40 ; 7,328.38 
01/11/2024;CR;CRC;CEF;ZTA;10; 393,000.00 ; 738.84 
01/11/2024;CR;CRC;CSC;ZTA;12; 504,000.00 ; 947.52 
01/11/2024;CR;CRC;WEBSITE;ZTA;2; 47,300.00 ; 88.92 
01/11/2024;CZ;CZK;CEF;ZTA;49; 16,621.00 ; 664.84 
01/11/2024;CZ;CZK;CSC;ZKL;2; -   ; -   
01/11/2024;CZ;CZK;CSC;ZTA;101; 101,450.00 ; 4,058.00 
01/11/2024;CZ;CZK;DIRECTRETAIL;ZKL;87; -   ; -   
01/11/2024;CZ;CZK;DIRECTRETAIL;ZTA;5870; 6,131,667.00 ; 245,266.68 
01/11/2024;CZ;CZK;INDIRECTRETAIL;ZBC;53; 20,617.00 ; 824.68 
01/11/2024;CZ;CZK;WEBSITE;ZKL;7; -   ; -   
01/11/2024;CZ;CZK;WEBSITE;ZL2;1; 790.00 ; 31.60 
01/11/2024;CZ;CZK;WEBSITE;ZLD;3; 1,170.00 ; 46.80 
01/11/2024;CZ;CZK;WEBSITE;ZTA;369; 754,809.00 ; 30,192.36 
01/11/2024;DE;EUR;ATHOME;ZFG;68; -   ; -   
01/11/2024;DE;EUR;CEF;ZTA;322; 9,966.60 ; 9,966.60 
01/11/2024;DE;EUR;CSC;ZKL;29; -   ; -   
01/11/2024;DE;EUR;CSC;ZRS;4; -   ; -   
01/11/2024;DE;EUR;CSC;ZTA;33; 190.80 ; 190.80 
01/11/2024;DE;EUR;DIRECTRETAIL;ZKL;4; -   ; -   
01/11/2024;DE;EUR;DIRECTRETAIL;ZL2;1; 49.00 ; 49.00 
01/11/2024;DE;EUR;DIRECTRETAIL;ZLD;2; -   ; -   
01/11/2024;DE;EUR;DIRECTRETAIL;ZTA;770; 24,743.00 ; 24,743.00 
01/11/2024;DE;EUR;INDIRECTRETAILSR;ZDE;314; 11,652.00 ; 11,652.00 
01/11/2024;DE;EUR;INDIRECTRETAILSR;ZFG;262; -   ; -   
01/11/2024;DE;EUR;WEBSITE;ZKL;16; -   ; -   
01/11/2024;DE;EUR;WEBSITE;ZL2;140; 6,860.00 ; 6,860.00 
01/11/2024;DE;EUR;WEBSITE;ZLD;374; -   ; -   
01/11/2024;DE;EUR;WEBSITE;ZTA;872; 71,659.38 ; 71,659.38 
01/11/2024;EG;EGP;CSC;ZKL;1; -   ; -   
01/11/2024;EG;EGP;CSC;ZTA;61; 82,234.01 ; 1,562.45 
01/11/2024;EG;EGP;DIRECTRETAIL;ZKL;15; -   ; -   
01/11/2024;EG;EGP;DIRECTRETAIL;ZTA;317; 295,339.14 ; 5,611.44 
01/11/2024;EG;EGP;INDIRECTRETAILSR;ZDE;62; 63,872.10 ; 1,213.57 
01/11/2024;EG;EGP;WEBSITE;ZKL;1; -   ; -   
01/11/2024;EG;EGP;WEBSITE;ZTA;353; 630,112.21 ; 11,972.13 
01/11/2024;FR;EUR;CSC;ZKL;8; -   ; -   
01/11/2024;FR;EUR;CSC;ZTA;1; 35.00 ; 35.00 
01/11/2024;FR;EUR;WEBSITE;ZKL;1; -   ; -   
01/11/2024;FR;EUR;WEBSITE;ZL2;6; 228.00 ; 228.00 
01/11/2024;FR;EUR;WEBSITE;ZL3;1; 38.00 ; 38.00 
01/11/2024;FR;EUR;WEBSITE;ZLD;1; 1.00 ; 1.00 
01/11/2024;FR;EUR;WEBSITE;ZTA;41; 2,131.08 ; 2,131.08 
01/11/2024;GB;GBP;CSC;ZKL;10; -   ; -   
01/11/2024;GB;GBP;CSC;ZRS;1; -   ; -   
01/11/2024;GB;GBP;CSC;ZTA;21; 632.95 ; 765.87 
01/11/2024;GB;GBP;CSC;ZUP;1; 29.00 ; 35.09 
01/11/2024;GB;GBP;DIRECTRETAIL;ZKL;1; -   ; -   
01/11/2024;GB;GBP;DIRECTRETAIL;ZTA;115; 6,954.00 ; 8,414.34 
01/11/2024;GB;GBP;INDIRECTRETAILSR;ZDE;71; 2,099.00 ; 2,539.79 
01/11/2024;GB;GBP;INTERNATIONALMARKETPLACE;ZTA;11; 386.00 ; 467.06 
01/11/2024;GB;GBP;WEBSITE;ZKL;1; -   ; -   
01/11/2024;GB;GBP;WEBSITE;ZL2;21; 441.00 ; 533.61 
01/11/2024;GB;GBP;WEBSITE;ZLD;23; 230.00 ; 278.30 
01/11/2024;GB;GBP;WEBSITE;ZTA;1262; 116,187.72 ; 140,587.14 
01/11/2024;GB;GBP;WEBSITE;ZUP;4; 116.00 ; 140.36 
01/11/2024;ID;IDR;CEF;ZTA;1418; 362,676,015.00 ; 21,760.56 
01/11/2024;ID;IDR;CSC;ZKL;5; -   ; -   
01/11/2024;ID;IDR;CSC;ZTA;18; 8,997,000.00 ; 539.82 
01/11/2024;ID;IDR;DIRECTRETAIL;ZKL;2; -   ; -   
01/11/2024;ID;IDR;DIRECTRETAIL;ZTA;1373; 386,193,000.00 ; 23,171.58 
01/11/2024;ID;IDR;WEBSITE;ZKL;3; -   ; -   
01/11/2024;ID;IDR;WEBSITE;ZTA;226; 162,859,000.00 ; 9,771.54 
01/11/2024;KG;KGS;CEF;ZTA;28; 97,554.00 ; 1,073.09 
01/11/2024;MA;MAD;CEF;ZTA;13; 4,399.99 ; 418.00 
01/11/2024;MA;MAD;DIRECTRETAIL;ZTA;1; 225.00 ; 21.38 
01/11/2024;MX;MXN;CEF;ZTA;278; 182,194.60 ; 8,563.15 
01/11/2024;MX;MXN;CSC;ZKL;2; -   ; -   
01/11/2024;MX;MXN;CSC;ZL2;1; 859.20 ; 40.38 
01/11/2024;MX;MXN;CSC;ZLD;1; 20.00 ; 0.94 
01/11/2024;MX;MXN;CSC;ZTA;20; 12,105.90 ; 568.98 
01/11/2024;MX;MXN;DIRECTRETAIL;ZKL;4; -   ; -   
01/11/2024;MX;MXN;DIRECTRETAIL;ZTA;288; 219,658.90 ; 10,323.97 
01/11/2024;MX;MXN;INDIRECTRETAIL;ZBC;39; 31,522.10 ; 1,481.54 
01/11/2024;MX;MXN;INDIRECTRETAILSR;ZDE;2; 1,598.00 ; 75.11 
01/11/2024;MX;MXN;WEBSITE;ZKL;1; -   ; -   
01/11/2024;MX;MXN;WEBSITE;ZL2;1; 779.00 ; 36.61 
01/11/2024;MX;MXN;WEBSITE;ZLD;9; 180.00 ; 8.46 
01/11/2024;MX;MXN;WEBSITE;ZTA;46; 41,490.90 ; 1,950.07 
01/11/2024;PH;PHP;CEF;ZTA;40; 66,360.00 ; 1,061.76 
01/11/2024;PH;PHP;DIRECTRETAIL;ZTA;684; 1,061,569.00 ; 16,985.10 
01/11/2024;PH;PHP;INDIRECTRETAILSR;ZDE;19; 32,110.00 ; 513.76 
01/11/2024;PH;PHP;WEBSITE;ZTA;115; 317,300.00 ; 5,076.80 
01/11/2024;SK;EUR;CEF;ZBC;1; 32.90 ; 32.90 
01/11/2024;SK;EUR;CEF;ZTA;2; 58.00 ; 58.00 
01/11/2024;SK;EUR;CSC;ZTA;1; 7.90 ; 7.90 
01/11/2024;SK;EUR;WEBSITE;ZLD;2; 28.20 ; 28.20 
01/11/2024;SK;EUR;WEBSITE;ZTA;55; 4,379.20 ; 4,379.20 
01/11/2024;TN;TND;CEF;ZTA;11; 1,900.00 ; 551.00 
01/11/2024;TN;TND;DIRECTRETAIL;ZKL;1; -   ; -   
01/11/2024;TN;TND;DIRECTRETAIL;ZTA;13; 1,374.00 ; 398.46 
02/11/2024;AE;AED;CSC;ZKL;6; -   ; -   
02/11/2024;AE;AED;CSC;ZTA;1; 430.00 ; 111.80 
02/11/2024;AE;AED;DIRECTRETAIL;ZKL;10; -   ; -   
02/11/2024;AE;AED;DIRECTRETAIL;ZTA;193; 50,935.00 ; 13,243.10 
02/11/2024;AE;AED;INDIRECTRETAIL;ZBC;16; 3,040.00 ; 790.40 
02/11/2024;AE;AED;WEBSITE;ZKL;1; -   ; -   
02/11/2024;AE;AED;WEBSITE;ZTA;44; 14,600.00 ; 3,796.00 
02/11/2024;AZ;AZN;CEF;ZKL;3; -   ; -   
02/11/2024;AZ;AZN;CEF;ZTA;169; 22,826.20 ; 12,782.67 
02/11/2024;CR;CRC;CEF;ZTA;6; 158,800.00 ; 298.54 
02/11/2024;CR;CRC;WEBSITE;ZTA;2; 40,100.00 ; 75.39 
02/11/2024;CZ;CZK;CEF;ZTA;17; 7,836.00 ; 313.44 
02/11/2024;CZ;CZK;CSC;ZTA;1; 1,620.00 ; 64.80 
02/11/2024;CZ;CZK;DIRECTRETAIL;ZKL;271; -   ; -   
02/11/2024;CZ;CZK;DIRECTRETAIL;ZTA;4859; 4,103,527.00 ; 164,141.08 
02/11/2024;CZ;CZK;INDIRECTRETAIL;ZBC;55; 21,395.00 ; 855.80 
02/11/2024;CZ;CZK;WEBSITE;ZKL;3; -   ; -   
02/11/2024;CZ;CZK;WEBSITE;ZL2;2; 3,380.00 ; 135.20 
02/11/2024;CZ;CZK;WEBSITE;ZTA;265; 470,180.50 ; 18,807.22 
02/11/2024;DE;EUR;ATHOME;ZFG;93; -   ; -   
02/11/2024;DE;EUR;CEF;ZTA;521; 14,586.40 ; 14,586.40 
02/11/2024;DE;EUR;CSC;ZKL;11; -   ; -   
02/11/2024;DE;EUR;CSC;ZL2;2; 98.00 ; 98.00 
02/11/2024;DE;EUR;CSC;ZTA;28; 331.80 ; 331.80 
02/11/2024;DE;EUR;DIRECTRETAIL;ZKL;41; -   ; -   
02/11/2024;DE;EUR;DIRECTRETAIL;ZL2;1; 49.00 ; 49.00 
02/11/2024;DE;EUR;DIRECTRETAIL;ZLD;14; -   ; -   
02/11/2024;DE;EUR;DIRECTRETAIL;ZTA;2069; 64,878.60 ; 64,878.60 
02/11/2024;DE;EUR;INDIRECTRETAILSR;ZDE;389; 14,181.00 ; 14,181.00 
02/11/2024;DE;EUR;INDIRECTRETAILSR;ZFG;337; -   ; -   
02/11/2024;DE;EUR;INTERNATIONALMARKETPLACE;ZTA;5; 395.00 ; 395.00 
02/11/2024;DE;EUR;WEBSITE;ZKL;18; -   ; -   
