DAY;COUNTRY;CURRENCY;ORDERCHANNEL;ORDERTYPE;ORDER;TOTAL PRICE;RATES;EUR
01/01/2024;AE;AED;CSC;ZKL;4;0.00;0.26;0.00
01/01/2024;AE;AED;DIRECTRETAIL;ZKL;15;0.00;0.26;0.00
01/01/2024;AE;AED;DIRECTRETAIL;ZTA;210;59185.00;0.26;15388.10
01/01/2024;AE;AED;INDIRECTRETAIL;ZBC;18;3140.00;0.26;816.40
01/01/2024;AE;AED;WEBSITE;ZKL;1;0.00;0.26;0.00
01/01/2024;AE;AED;WEBSITE;ZTA;39;13365.00;0.26;3474.90
01/01/2024;CR;CRC;WEBSITE;ZTA;2;57600.00;0.00;109.44
01/01/2024;CZ;CZK;CEF;ZTA;1;710.00;0.04;28.12
01/01/2024;CZ;CZK;CSC;ZKL;1;0.00;0.04;0.00
01/01/2024;CZ;CZK;CSC;ZTA;1;1900.00;0.04;75.24
01/01/2024;CZ;CZK;DIRECTRETAIL;ZTA;12;5605.00;0.04;221.96
01/01/2024;CZ;CZK;WEBSITE;ZKL;4;0.00;0.04;0.00
01/01/2024;CZ;CZK;WEBSITE;ZTA;273;543995.00;0.04;21542.20
01/01/2024;CZ;CZK;WEBSITE;ZUP;1;1090.00;0.04;43.16
01/01/2024;DE;EUR;ATHOME;ZFG;49;0.00;1.00;0.00
01/01/2024;DE;EUR;INDIRECTRETAILSR;ZDE;53;2757.00;1.00;2757.00
01/01/2024;DE;EUR;INDIRECTRETAILSR;ZFG;48;0.00;1.00;0.00
01/01/2024;DE;EUR;WEBSITE;ZKL;21;0.00;1.00;0.00
01/01/2024;DE;EUR;WEBSITE;ZL2;63;3867.00;1.00;3867.00
01/01/2024;DE;EUR;WEBSITE;ZL3;11;699.00;1.00;699.00
01/01/2024;DE;EUR;WEBSITE;ZLD;144;0.00;1.00;0.00
01/01/2024;DE;EUR;WEBSITE;ZTA;839;85010.36;1.00;85010.36
01/01/2024;EG;EGP;CSC;ZKL;2;0.00;0.02;0.00
01/01/2024;EG;EGP;CSC;ZTA;182;282860.12;0.02;5317.77
01/01/2024;EG;EGP;DIRECTRETAIL;ZKL;75;0.00;0.02;0.00
01/01/2024;EG;EGP;DIRECTRETAIL;ZTA;749;983928.04;0.02;18497.85
01/01/2024;EG;EGP;INDIRECTRETAILSR;ZDE;143;142136.54;0.02;2672.17
01/01/2024;EG;EGP;WEBSITE;ZKL;10;0.00;0.02;0.00
01/01/2024;EG;EGP;WEBSITE;ZTA;668;988321.04;0.02;18580.44
