ID;Year_Birth;Education;Marital_Status;Income;Age;Total_Children;Kidhome;Teenhome;Is_Parent;Family_Size;Dt_Customer;Recency;Customer_Tenure;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;Total_Spending;Total_Purchases;Avg_Spending_per_Purchase;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp1;AcceptedCmp2;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;Total_Campaigns_Accepted;Complain
5524;1957;Graduation;Single;58138;67;0;0;0;0;1;04/09/2012;58;4437;635;88;546;172;88;88;1617;25;64.68;3;8;10;4;7;0;0;0;0;0;0;0
2174;1954;Graduation;Single;46344;70;2;1;1;1;3;08/03/2014;38;3887;11;1;6;2;1;6;27;6;4.5;2;1;1;2;5;0;0;0;0;0;0;0
4141;1965;Graduation;Together;71613;59;0;0;0;0;2;21/08/2013;26;4086;426;49;127;111;21;42;776;21;36.95238095;1;8;2;10;4;0;0;0;0;0;0;0
6182;1984;Graduation;Together;26646;40;1;1;0;1;3;10/02/2014;26;3913;11;4;20;10;3;5;53;8;6.625;2;2;0;4;6;0;0;0;0;0;0;0
5324;1981;Phd;Married;58293;43;1;1;0;1;3;19/01/2014;94;3935;173;43;118;46;27;15;422;19;22.21052632;5;5;3;6;5;0;0;0;0;0;0;0
7446;1967;Master;Together;62513;57;1;0;1;1;3;09/09/2013;16;4067;520;42;98;0;42;14;716;22;32.54545455;2;6;4;10;6;0;0;0;0;0;0;0
965;1971;Graduation;Divorced;55635;53;1;0;1;1;2;13/11/2012;34;4367;235;65;164;50;49;27;590;21;28.0952381;4;7;3;7;6;0;0;0;0;0;0;0
6177;1985;Phd;Married;33454;39;1;1;0;1;3;08/05/2013;32;4191;76;10;56;3;1;23;169;10;16.9;2;4;0;4;8;0;0;0;0;0;0;0
4855;1974;Phd;Together;30351;50;1;1;0;1;3;06/06/2013;19;4162;14;0;24;3;3;2;46;6;7.666666667;1;3;0;2;9;0;0;0;0;0;0;0
5899;1950;Phd;Together;5648;74;2;1;1;1;4;13/03/2014;68;3882;28;0;6;1;1;13;49;2;24.5;1;1;0;0;20;0;0;1;0;0;1;0
387;1976;Basic;Married;7500;48;0;0;0;0;2;13/11/2012;59;4367;6;16;11;11;1;16;61;6;10.16666667;1;2;0;3;8;0;0;0;0;0;0;0
2125;1959;Graduation;Divorced;63033;65;0;0;0;0;1;15/11/2013;82;4000;194;61;480;225;112;30;1102;16;68.875;1;3;4;8;2;0;0;0;0;0;0;0
8180;1952;Master;Divorced;59354;72;2;1;1;1;3;15/11/2013;53;4000;233;2;53;3;5;14;310;15;20.66666667;3;6;1;5;6;0;0;0;0;0;0;0
